Year,Mo,Dy,TSU ,EQ,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent
1950,8,28,0,0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,1,P
1950,9,15,0,0,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,P
1950,9,23,0,0,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,T
1951,1,21,0,0,Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,4,P
1951,8,31,0,0,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,
1951,12,4,0,0,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,P
1951,,,1,0,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-8.991,157.979,-20,Submarine volcano,2,
1952,9,16,1,0,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,
1952,9,23,1,0,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,
1952,9,24,1,0,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,P
1952,9,26,1,0,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,
1952,,,0,0,Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329,Compound volcano,1,
1953,3,11,1,0,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,
1953,3,23,0,0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,P
1953,3,25,1,0,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,
1953,4,27,0,0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,T
1953,10,5,0,0,Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,758,Stratovolcano,1,
1954,8,3,0,0,Bam,New Guinea-NE of,Papua New Guinea,-3.613,144.818,685,Stratovolcano,2,I
1955,7,26,0,0,Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,1114,Pyroclastic cone,4,G
1955,10,13,0,0,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,3,
1956,3,30,1,0,Bezymianny,Kamchatka,Russia,55.972,160.595,2882,Stratovolcano,5,
1957,3,11,0,1,Vsevidof,Aleutian Is,United States,53.13,-168.693,2149,Stratovolcano,2,
1957,10,13,0,0,Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,758,Stratovolcano,2,T
1957,10,,0,0,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,T
