Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Damage Description
1950,8,28,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,1,P,6,,,,,6,,,,
1950,9,15,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,P,68,,,,,68,,,,
1950,9,23,,,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,T,1,,1,,,1,,1,,
1951,1,21,,,Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,4,P,2942,,,,,2942,,,,
1951,8,31,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,7,,,,,7,,,,
1951,12,4,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,P,500,1500,,,,500,1500,,,
1951,,,1816,,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-8.991,157.979,-20,Submarine volcano,2,,,,,,,,,,,
1952,9,16,1824,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,,,,,,,,,,,
1952,9,23,1825,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,,,,,,,,,,,
1952,9,24,1826,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,P,31,,,,,31,,,,1
1952,9,26,1827,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,,,,,,,,,,,
1952,,,,,Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329,Compound volcano,1,,12,,,,,12,,,,
1953,3,11,1833,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,,,,,,,,,,,
1953,3,23,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,P,64,,57,,144,64,,57,,2
1953,3,25,5566,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,,,,,,,,,,,
1953,4,27,,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,T,6,,,,,6,,,,
1953,10,5,,,Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,758,Stratovolcano,1,,1,,,,,1,,,,
1954,8,3,,,Bam,New Guinea-NE of,Papua New Guinea,-3.613,144.818,685,Stratovolcano,2,I,,,,,,25,,,,
1955,7,26,,,Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,1114,Pyroclastic cone,4,G,2,,,,,2,,,,
1955,10,13,,,Aira,Kyushu-Japan,Japan,31.593,130.657,1117,Stratovolcano,3,,,,,,,,,,,
1956,3,30,1856,,Bezymianny,Kamchatka,Russia,55.972,160.595,2882,Stratovolcano,5,,,,,,,,,,,
1957,3,11,,4116,Vsevidof,Aleutian Is,United States,53.13,-168.693,2149,Stratovolcano,2,,,,,,,,,,,
1957,10,13,,,Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,758,Stratovolcano,2,T,1,,53,,,1,,53,,
1957,10,,,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,T,12,,,,,12,,,,
1958,7,12,,,Mahawu,Sulawesi-Indonesia,Indonesia,1.352,124.865,1299,Stratovolcano,2,M,1,,10,,,1,,10,,
1958,10,7,1882,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2,Caldera,2,,,,,,,,,,,
1960,5,25,1902,4227,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,3,,,,,,,,,,,
